Numero Estrella,Plx,MovimientoPropio,Magnitud,B-V,alpha,delta
1,772.33,-3775.64,11.01,1.807,14 29 47.75,-62 40 52.9
2,742.12,-3600.35,1.35,0.9,14 39 39.39,-60 50 22.1
3,742.12,-3678.19,-0.01,0.71,14 39 40.90,-60 50 06.5
4,549.01,-797.84,9.54,1.57,17 57 48.97,+04 40 05.8
5,392.4,-580.2,7.49,1.502,11 03 20.61,+35 58 53.3
6,379.21,-546.01,-1.44,0.009,06 45 09.25,-16 42 47.3
7,336.48,637.55,10.37,1.51,18 49 48.96,-23 50 08.8
8,310.75,-976.44,3.72,0.881,03 32 56.42,-09 27 29.9
9,303.9,6767.26,7.35,1.483,23 05 47.17,-35 51 22.7
10,299.58,605.62,11.12,1.746,11 47 44.04,+00 48 27.1
11,287.13,4155.1,5.2,1.069,21 06 50.84,+38 44 29.4
12,285.93,-716.57,0.4,0.432,07 39 18.54,+05 13 39.0
13,285.42,4107.4,6.05,1.309,21 06 52.19,+38 44 03.9
14,284.48,-1393.2,9.7,1.561,18 42 48.51,+59 37 20.5
15,280.28,-1326.88,8.94,1.504,18 42 48.22,+59 37 33.7
16,280.27,2888.92,8.09,1.56,00 18 20.54,+44 01 19.0
17,275.76,3959.97,4.69,1.056,22 03 17.44,-56 46 47.3
18,274.17,-1721.82,3.49,0.727,01 44 05.13,-15 56 22.4
19,269.05,1210.09,12.1,1.85,01 12 29.90,-17 00 01.9
20,263.26,571.27,9.84,1.573,07 27 24.16,+05 14 05.2
21,255.26,6506.05,8.86,1.543,05 11 35.21,-45 00 16.2
22,253.37,-3259,6.69,1.397,21 17 17.71,-38 51 52.5
23,249.52,-870.23,9.59,1.613,22 28 00.42,+57 41 49.3
24,242.89,694.73,11.12,1.69,06 29 23.00,-02 48 44.9
25,235.24,-1389.7,11.72,1.48,14 49 33.51,-26 06 21.7
26,234.51,-93.61,10.1,1.604,16 30 18.11,-12 39 35.0
27,229.33,5634.07,8.56,1.462,00 05 20.29,-37 21 06.1
28,227.45,-112.94,12.16,,03 22 05.57,-13 16 41.2
29,226.95,1233.05,12.37,0.554,00 49 09.18,+05 23 42.7
30,221.8,-1421.6,12.07,1.524,14 49 32.69,-26 06 40.2
31,220.85,-320.47,9.15,1.505,17 36 26.41,+68 20 32.0
32,220.43,573.32,9.38,1.553,17 28 39.46,-46 53 35.0
33,216.52,112.27,12.24,,23 06 38.89,-14 52 20.6
34,216.4,2665.17,11.5,0.196,11 45 39.26,-64 50 26.4
35,212.69,960.33,10.16,1.597,22 53 16.16,-14 15 43.4
36,206.94,-4410.79,8.82,1.491,11 05 32.13,+43 31 28.1
37,205.22,-1361.55,6.6,1.326,10 11 23.36,+49 27 19.7
38,203.01,254.79,11.72,,16 54 32.15,-62 24 13.5
39,202.69,97.33,11.39,1.101,17 29 36.19,+24 39 11.6
40,202.53,-46.18,8.66,1.521,21 33 34.02,-49 00 25.3
41,198.32,-710.11,10.94,1.655,17 37 04.24,-44 19 01.0
42,198.24,-2239.33,4.43,0.82,04 15 17.64,-07 38 40.4
43,198.07,-704.66,10.29,1.54,22 46 50.31,+44 20 06.4
44,196.62,124.56,4.03,0.86,18 05 27.21,+02 30 08.8
45,194.44,536.82,0.76,0.221,19 50 46.68,+08 52 02.6
46,191.86,728.18,11.49,1.75,00 15 27.67,-16 07 56.3
47,185.48,743.21,10.8,1.572,11 47 39.17,+78 41 24.0
48,184.13,1778.46,8.46,1.435,13 45 42.70,+14 53 42.2
49,182.15,-306.7,11.41,1.653,20 52 33.20,-16 58 29.3
50,181.36,1300.21,10.82,1.17,04 31 10.05,+58 58 55.4
