,Numero Estrella,Plx,MovimientoPropio,Magnitud,B-V,alpha,delta,Distancia en Parsecs,Distancia en UA,Color,HCMarzo20
0,1,772.33,-3775.64,11.01,1.807,14 29 47.75,-62 40 52.9,1.2947833180117307,267068.48108968965,Roja,3 29 47.75
1,2,742.12,-3600.35,1.35,0.9,14 39 39.39,-60 50 22.1,1.3474909718104888,277940.22530049045,Roja,3 39 39.39
2,3,742.12,-3678.19,-0.01,0.71,14 39 40.90,-60 50 06.5,1.3474909718104888,277940.22530049045,Roja,3 39 40.90
3,4,549.01,-797.84,9.54,1.57,17 57 48.97,+04 40 05.8,1.8214604469863938,375703.5390976485,Roja,6 57 48.97
4,5,392.4,-580.2,7.49,1.5019999999999998,11 03 20.61,+35 58 53.3,2.5484199796126403,525649.8470948013,Roja,0 03 20.61
5,6,379.21,-546.01,-1.44,0.009000000000000001,06 45 09.25,-16 42 47.3,2.6370612589330453,543933.4405738246,Roja,19 45 09.25
6,7,336.48,637.55,10.37,1.51,18 49 48.96,-23 50 08.8,2.9719448407037565,613008.2025677604,Roja,7 49 48.96
7,8,310.75,-976.44,3.72,0.8809999999999999,03 32 56.42,-09 27 29.9,3.2180209171359615,663765.0844730492,Roja,16 32 56.42
8,9,303.9,6767.26,7.35,1.483,23 05 47.17,-35 51 22.7,3.290556103981573,678726.5547877592,Roja,12 05 47.17
9,10,299.58,605.62,11.12,1.746,11 47 44.04,+00 48 27.1,3.3380065424928236,688513.9194872823,Roja,0 47 44.04
10,11,287.13,4155.1,5.2,1.069,21 06 50.84,+38 44 29.4,3.4827430083934106,718367.9866262669,Roja,10 06 50.84
11,12,285.93,-716.57,0.4,0.43200000000000005,07 39 18.54,+05 13 39.0,3.497359493582345,721382.8559437625,Roja,20 39 18.54
12,13,285.42,4107.4,6.05,1.3090000000000002,21 06 52.19,+38 44 03.9,3.5036087169784875,722671.8520075678,Roja,10 06 52.19
13,14,284.48,-1393.2,9.7,1.561,18 42 48.51,+59 37 20.5,3.5151856017997747,725059.7581552305,Roja,7 42 48.51
14,15,280.28,-1326.88,8.94,1.504,18 42 48.22,+59 37 33.7,3.567860710717854,735924.7894962181,Roja,7 42 48.22
15,16,280.27,2888.92,8.09,1.56,00 18 20.54,+44 01 19.0,3.5679880115602813,735951.0472044814,Roja,13 18 20.54
16,17,275.76,3959.97,4.69,1.056,22 03 17.44,-56 46 47.3,3.6263417464461853,747987.3803307224,Roja,11 03 17.44
17,18,274.17,-1721.82,3.49,0.727,01 44 05.13,-15 56 22.4,3.6473720684247,752325.1996936208,Roja,14 44 05.13
